Metric,Value,Details
Week Start,2025-11-24,
Week End,2025-11-30,
,,
WEEKLY BOTTLES ACTIVITY,,
Public Bottles Verified,1,
,,
MARKETPLACE RELEASES ANALYSIS,,
Total Marketplace Releases,1816,
Marketplace Releases with Current Pricing,1018,56.06%
Marketplace Releases with Stale Pricing,269,14.81%
Marketplace Releases without Pricing,529,
Marketplace Releases with Complete Data,1287,70.87%
Marketplace Releases (Assets Only),529,
Assets with Pricing (KEY METRIC),70.87%,1287 of 1816 assets have pricing
,,
Generated At,2025-11-25 19:28:16,
,,
TOP UNPRICED MARKETPLACE RELEASES,,
Name,Class ID,Popularity,Asset URL
Gentleman Jack,1388,1605,https://baxus.co/asset/53kzrLpo9HGCvSHyC6jxTcpoPepHb8Rw2pC99JgRvomN
Penelope Bourbon Rio Batch 4,103022,131,https://baxus.co/asset/38ms6ekiuwud1EZjpF2LjDa9xEEwjYg585UW7WXd3SyC
Hard Truth Double Oaked Sweet Mash Rye,48692,93,https://baxus.co/asset/6JeEpzKduNqyaCEC5wKxA9uMMx8JFCuRcnByYELqQYD
Bulleit Barrel Strength Batch 7,24836,67,https://baxus.co/asset/2GoxpeZZQ6o5bt8yBpT8ZZpCyz1Wgn76wUNHCw2Zu8H7
Jack Daniel's Tennessee Fire 1 Liter,4731,58,https://baxus.co/asset/9FAqBvStH9bsdw7rbD3QXym34yoAW1j2CgHuCtV3fPrv
Cream of Kentucky 12.3 Year Bourbon,28295,24,https://baxus.co/asset/EjM3U1mWp5fK4MMTeZvmpNgZKgwniJeKDehUWbFYo6cP
Nelson’s Green Brier Cask Strength,29025,21,https://baxus.co/asset/8zYWMM3Qwq1kJW4obRLCmVTeXruu9gjHRm7iohFbpLWs
Invergordon 1987 31 Year Single Cask #88721 The Distinctive Spirits Co,36416,16,https://baxus.co/asset/2izr94cWF3SYspMLNzJ49yaudiNGgexV9HESrnxCzHBS
ASW Fiddler Georgia Heartwood National Champions Release,25590,16,https://baxus.co/asset/2qTJ5frtncHv1F4HUbW69HGYPmbfF6cDPkTbTXTUjjRU
Jack Daniel's Tennessee Rye 375ml,2194,16,https://baxus.co/asset/7oU4sJ8xdFiikJqWbrU2moAJ936niQauCzExZNyDsn2z
Bunnahabhain 25 Year,3367,15,https://baxus.co/asset/Eqg7Gcritiu5sXYXULGD8y5UB31KfHmN5ZtW1gXgN27f
Cats Eye Obtainium Cask Strength 28 Year For Baxus,36341,14,https://baxus.co/asset/72u1L9aGFV8ErprpsSE2kB7BG3Rfb54YH5Fk6raGVsfD
,,
BOTTLES VERIFIED THIS WEEK,,
Name,Class ID,Verified Date
Maker’s Mark U.S. Army Edition,162640,2025-11-24 10:28:48
