Metric,Value,Details
Week Start,2025-12-01,
Week End,2025-12-07,
,,
WEEKLY BOTTLES ACTIVITY,,
Public Bottles Verified,4,
,,
MARKETPLACE RELEASES ANALYSIS,,
Total Marketplace Releases,1846,
Marketplace Releases with Current Pricing,1009,54.66%
Marketplace Releases with Stale Pricing,294,15.93%
Marketplace Releases without Pricing,543,
Marketplace Releases with Complete Data,1303,70.59%
Marketplace Releases (Assets Only),543,
Assets with Pricing (KEY METRIC),70.59%,1303 of 1846 assets have pricing
,,
Generated At,2025-12-08 18:23:50,
,,
TOP UNPRICED MARKETPLACE RELEASES,,
Name,Class ID,Popularity,Asset URL
Gentleman Jack,1388,1617,https://baxus.co/asset/53kzrLpo9HGCvSHyC6jxTcpoPepHb8Rw2pC99JgRvomN
Pure Kentucky Small Batch XO Bourbon,3581,664,https://baxus.co/asset/GdF61hRshTLqPVj25PjZPReUC45fYMZ26kYZhXqdvKyX
Little Book Chapter 1: The Easy,17447,265,https://baxus.co/asset/E7Tp31j6iXNekqNMVnmcnQuAc5Rd2w38BoeG55aqCxyC
Hard Truth Double Oaked Sweet Mash Rye,48692,98,https://baxus.co/asset/6JeEpzKduNqyaCEC5wKxA9uMMx8JFCuRcnByYELqQYD
WhistlePig Farmstock Rye Crop 2,2322,94,https://baxus.co/asset/2dvSmZRxDM3FTLJNBcTgfHDpcZZ47BeKnUH2BAUcqkWH
Jack Daniel's Tennessee Fire 1 Liter,4731,58,https://baxus.co/asset/9FAqBvStH9bsdw7rbD3QXym34yoAW1j2CgHuCtV3fPrv
E.H. Taylor Distiller’s Council,108313,44,https://baxus.co/asset/9x1B1T2NTuCjhpAhy4tqzpczKt1onn8J32upva76W7Pd
Laphroaig Elements L2.0,43693,18,https://baxus.co/asset/FDYA5DnLEgGNQFcFPhZsN1nqZvTWjk5CjinnhZkSFFW3
Jack Daniel's Tennessee Rye 375ml,2194,16,https://baxus.co/asset/7oU4sJ8xdFiikJqWbrU2moAJ936niQauCzExZNyDsn2z
ASW Fiddler Georgia Heartwood National Champions Release,25590,16,https://baxus.co/asset/2qTJ5frtncHv1F4HUbW69HGYPmbfF6cDPkTbTXTUjjRU
Bunnahabhain 25 Year,3367,16,https://baxus.co/asset/Eqg7Gcritiu5sXYXULGD8y5UB31KfHmN5ZtW1gXgN27f
Invergordon 1987 31 Year Single Cask #88721 The Distinctive Spirits Co,36416,15,https://baxus.co/asset/2izr94cWF3SYspMLNzJ49yaudiNGgexV9HESrnxCzHBS
,,
BOTTLES VERIFIED THIS WEEK,,
Name,Class ID,Verified Date
WhistlePig Farmstock Rye Crop 1,164269,2025-12-04 00:15:54
Knob Creek 2009 Cask Strength Rye,164264,2025-12-04 00:04:05
High West A Midwinter Nights Dram Act 3 Scene 3,164263,2025-12-04 00:02:27
Chartreuse La Tau 2018 Release,164196,2025-12-03 01:48:15
